"","SRR1027171","SRR1027172","SRR1027173","SRR1027174","SRR1027175","SRR1027176","SRR1027177","SRR1027178","SRR1027179","SRR1027180","SRR1027181","SRR1027182","SRR1027183","SRR1027184","SRR1027185","SRR1027186","SRR1027187","SRR1027188","SRR1027189","SRR1027190"
"ENSG00000204913.5",17,1,57,7,9,3,6,13,12,10,20,5,0,0,3,15,7,2,1,3
"ENSG00000167914.6",41,0,152,30,8,35,29,12,26,16,29,11,8,8,2,17,15,7,9,16
"ENSG00000108344.10",1000,164,1859,522,564,510,1166,1074,1124,357,1194,699,275,547,1862,341,4936,3605,3029,3055
"ENSG00000265799.1",12,1,15,2,4,1,0,5,1,2,2,0,0,0,0,0,1,9,9,9
"ENSG00000108342.8",18,0,53,5,10,1,4,7,18,13,15,9,5,1,1,1,11,1700,17399,29630
"ENSG00000008838.13",729,142,1632,481,434,433,916,785,854,446,906,655,407,541,1095,270,3032,1514,3203,3689
"ENSG00000238793.1",0,0,4,0,1,2,2,3,2,0,4,0,6,1,2,4,3,3,2,2
"ENSG00000126351.8",284,47,921,132,189,106,399,298,275,279,434,231,90,95,97,60,519,1145,831,1280
"ENSG00000126368.5",46,6,87,28,16,15,35,35,42,43,37,62,33,40,32,44,45,1251,670,1761
"ENSG00000188895.7",1804,261,3053,941,914,1197,1515,1536,1943,1063,1878,1040,956,2338,2478,589,7969,2345,3035,3922
"ENSG00000108349.10",823,150,1368,450,440,352,567,904,965,513,852,546,522,671,1427,368,2229,2460,3408,3700
"ENSG00000221555.1",2,0,7,0,2,1,2,1,4,1,2,0,0,0,5,1,2,0,0,0
"ENSG00000108352.7",112,9,49,36,31,28,125,77,135,26,124,97,31,223,43,11,159,220,342,318
"ENSG00000171475.9",471,101,514,245,303,226,528,611,700,402,635,391,300,476,564,208,1842,1184,1410,2642
"ENSG00000200735.1",3,0,6,1,0,0,0,5,5,0,3,3,4,2,2,3,2,1,0,0
"ENSG00000094804.5",690,46,238,240,169,260,378,164,227,44,187,239,182,572,281,109,1759,166,127,207
"ENSG00000270145.1",38,2,33,3,10,7,14,6,12,4,9,6,3,23,13,7,62,6,1,8
"ENSG00000131759.13",151,26,74,54,65,50,195,277,382,205,303,247,142,92,99,105,128,1784,2630,4943
"ENSG00000265666.1",11,2,7,6,3,7,24,25,21,16,22,10,12,8,4,6,1,64,38,89
"ENSG00000266208.1",33,7,20,26,15,5,25,80,52,27,94,89,10,12,13,4,16,93,103,77
"ENSG00000183153.5",0,0,0,0,0,0,3,4,1,1,1,3,1,1,0,0,0,2,7,5
"ENSG00000264655.1",3,0,4,2,1,2,0,5,2,3,5,0,0,2,0,0,0,3,0,1
"ENSG00000252618.1",0,0,5,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2
"ENSG00000131747.10",5619,378,935,2553,1100,1885,2055,1593,2129,293,1748,1273,1271,5984,1972,912,336,251,647,121
"ENSG00000222881.1",3,0,3,0,0,1,0,2,1,1,0,2,0,3,0,0,0,0,0,0
"ENSG00000240125.1",1,0,2,0,1,2,2,4,2,0,3,0,0,0,1,0,0,10,1,4
"ENSG00000141753.5",1134,415,1656,1363,1597,653,2953,2539,4404,5912,4001,2807,1448,487,603,935,1024,21323,22088,25112
"ENSG00000131746.8",296,3,266,129,95,59,88,47,73,34,76,141,114,358,37,26,79,1265,3021,8291
"ENSG00000266088.1",28,6,18,17,5,8,21,5,5,16,11,8,20,11,26,5,3,8,5,5
"ENSG00000126353.3",114,1,67,71,108,32,89,18,65,33,44,66,321,26,172,47,47,31,364,114
"ENSG00000073584.14",478,69,272,269,179,282,424,708,908,565,703,487,473,590,460,349,222,875,848,854
"ENSG00000264058.1",9,3,13,10,10,3,18,31,33,13,24,19,11,10,8,8,9,13,18,18
"ENSG00000213424.4",7,0,12,0,0,2,2,7,6,3,7,12,0,0,0,2,0,2,8,5
"ENSG00000271876.1",0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
"ENSG00000224244.1",2,0,3,1,0,0,2,7,31,4,16,0,14,0,0,0,1,10,2,2
"ENSG00000167916.4",6,0,25,0,0,5,5,8,23,6,26,3,17,0,3,0,43,4,0,1
"ENSG00000229028.2",5,0,17,1,2,2,4,5,10,3,5,2,0,0,1,0,19,2,0,1
"ENSG00000204897.6",13,0,22,2,2,2,2,4,5,2,4,3,0,1,1,0,3,0,0,0
"ENSG00000186393.5",9,0,8,0,2,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0
"ENSG00000171446.6",10,0,11,2,5,3,5,2,5,5,2,1,0,0,0,1,0,0,0,0
"ENSG00000173908.8",4,0,12,0,2,0,1,5,5,8,4,1,0,0,0,0,1,0,0,0
"ENSG00000264488.1",2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000186395.6",72,19,72,195,100,119,228,171,190,93,138,88,77,91,54,28,44,762,262,332
"ENSG00000167920.4",41,19,46,41,20,64,111,122,172,54,106,101,82,84,41,21,31,440,150,231
"ENSG00000265359.1",3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
"ENSG00000187242.4",15,0,14,1,5,2,5,2,9,8,9,2,4,0,0,1,1,3,2,0
"ENSG00000171431.3",10,0,18,4,2,4,2,5,6,5,8,4,6,0,1,6,3,0,1,4
"ENSG00000234477.1",21,1,3,30,3,5,7,1,4,3,2,1,1,5,0,0,1,21,7,12
"ENSG00000108244.12",2187,460,150,2668,1086,2187,1506,16,55,49,219,10,76,1080,72,16,136,1553,1523,2362
"ENSG00000196859.3",4,2,14,1,2,2,0,3,4,7,4,2,2,1,1,0,2,2,3,0
"ENSG00000204889.6",15,43,18,3,7,6,4,7,6,5,8,3,3,4,1,0,1,1,9,8
"ENSG00000212899.1",2,13,6,1,0,0,1,5,2,0,2,0,0,0,0,0,0,3,2,0
"ENSG00000212900.1",6,0,5,0,4,1,0,2,4,3,0,0,0,0,0,0,0,44,6,5
"ENSG00000226776.1",8,0,4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000212901.2",11,0,17,2,1,1,1,1,4,1,7,2,1,0,0,0,0,7,0,2
"ENSG00000221852.4",3,0,6,2,1,1,1,0,0,1,0,0,0,0,0,0,0,3,3,3
"ENSG00000204887.4",1,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0,1,0,1,0
"ENSG00000221880.2",1,0,5,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"ENSG00000188581.8",10,1,2,2,1,3,0,1,1,2,3,1,0,0,0,0,1,2,5,1
"ENSG00000212725.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214518.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000212724.2",3,1,0,7,3,0,0,0,2,1,1,1,0,0,0,0,0,14,4,4
"ENSG00000213417.2",1,0,0,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0
"ENSG00000237230.1",3,1,9,1,0,1,0,0,1,1,1,3,0,0,0,0,1,0,1,0
"ENSG00000240871.3",4,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
